anio;mes;cantidad
2015;1;1930
2015;2;2147
2015;3;2377
2015;4;2158
2015;5;2367
2015;6;2094
2015;7;2356
2015;8;2527
2015;9;2427
2015;10;2346
2015;11;2218
2015;12;2291
2016;1;1995
2016;2;2382
2016;3;2401
2016;4;2379
2016;5;2418
2016;6;2306
2016;7;2488
2016;8;2616
2016;9;2572
2016;10;2577
2016;11;2315
2016;12;2146
2017;1;2070
2017;2;2303
2017;3;2295
2017;4;2136
2017;5;2379
2017;6;2209
2017;7;2288
2017;8;2506
2017;9;2409
2017;10;2167
2017;11;2175
2017;12;2113
2018;1;1890
2018;2;1971
2018;3;2117
2018;4;1981
2018;5;2122
2018;6;2129
2018;7;2110
2018;8;2192
2018;9;2111
2018;10;2097
2018;11;1882
2018;12;2054
2019;1;1805
2019;2;1982
2019;3;1899
2019;4;1851
2019;5;2074
2019;6;1998
